20170209_p1_light1.csv,150,168,walk,human5
20170209_p1_light1.csv,353,365,walk,human6
20170209_p1_light2.csv,158,191,sitdown,human5
20170209_p1_light2.csv,195,220,sit,human5
20170209_p1_light2.csv,230,274,standup,human5
20170209_p1_light2.csv,278,301,stand,human5
20170209_p1_light2.csv,438,465,sitdown,human6
20170209_p1_light2.csv,470,500,sit,human6
20170209_p1_light2.csv,506,541,standup,human6
20170209_p1_light2.csv,545,562,stand,human6
20170209_p1_light3.csv,148,194,sitdown,human5
20170209_p1_light3.csv,195,215,sit,human5
20170209_p1_light3.csv,219,255,standup,human5
20170209_p1_light3.csv,257,276,stand,human5
20170209_p1_light3.csv,370,404,sitdown,human6
20170209_p1_light3.csv,407,427,sit,human6
20170209_p1_light3.csv,430,454,standup,human6
20170209_p1_light3.csv,455,480,stand,human6
20170209_p1_light4.csv,132,163,falling1,human5
20170209_p1_light4.csv,165,185,lie,human5
20170209_p1_light4.csv,277,299,falling1,human6
20170209_p1_light4.csv,305,320,lie,human6
20170209_p1_light5.csv,190,217,falling2,human5
20170209_p1_light5.csv,225,240,lie,human5
20170209_p1_light5.csv,333,358,falling2,human6
20170209_p1_light5.csv,365,385,lie,human6
20170209_p1_dark1.csv,129,145,walk,human5
20170209_p1_dark1.csv,221,232,walk,human6
20170209_p1_dark2.csv,166,193,sitdown,human5
20170209_p1_dark2.csv,195,225,sit,human5
20170209_p1_dark2.csv,229,263,standup,human5
20170209_p1_dark2.csv,265,280,stand,human5
20170209_p1_dark2.csv,370,396,sitdown,human6
20170209_p1_dark2.csv,400,423,sit,human6
20170209_p1_dark2.csv,425,453,standup,human6
20170209_p1_dark2.csv,455,479,stand,human6
20170209_p1_dark3.csv,145,170,sitdown,human5
20170209_p1_dark3.csv,175,200,sit,human5
20170209_p1_dark3.csv,205,235,standup,human5
20170209_p1_dark3.csv,240,256,stand,human5
20170209_p1_dark3.csv,361,384,sitdown,human6
20170209_p1_dark3.csv,390,410,sit,human6
20170209_p1_dark3.csv,416,447,standup,human6
20170209_p1_dark3.csv,450,470,stand,human6
20170209_p1_dark4.csv,222,244,falling1,human5
20170209_p1_dark4.csv,250,270,lie,human5
20170209_p1_dark4.csv,396,415,falling1,human6
20170209_p1_dark4.csv,420,454,lie,human6
20170209_p1_dark5.csv,159,188,falling2,human5
20170209_p1_dark5.csv,194,217,lie,human5
20170209_p1_dark5.csv,344,371,falling2,human6
20170209_p1_dark5.csv,380,395,lie,human6
20170209_p2_light1.csv,131,156,walk,human5
20170209_p2_light1.csv,260,274,walk,human6
20170209_p2_light2.csv,197,231,sitdown,human5
20170209_p2_light2.csv,240,270,sit,human5
20170209_p2_light2.csv,273,299,standup,human5
20170209_p2_light2.csv,305,320,stand,human5
20170209_p2_light2.csv,404,431,sitdown,human6
20170209_p2_light2.csv,435,460,sit,human6
20170209_p2_light2.csv,463,492,standup,human6
20170209_p2_light2.csv,495,515,stand,human6
